Lokasi,X,Y,Tanggal,PM10,PM2.5,SO2,CO,O3,NO2,HC
Wonorejo,"1,127,891,639","1,127,891,639",1-Jan-19,12.0,0.0,8.7,0.0,11.8,3.1,0.0
Wonorejo,"1,127,891,639","1,127,891,639",2-Jan-19,12.0,0.0,6.9,0.0,10.1,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",3-Jan-19,8.5,0.0,7.3,0.0,6.0,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",4-Jan-19,4.4,0.0,7.5,0.0,8.8,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",5-Jan-19,3.7,0.0,9.3,0.0,10.4,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",6-Jan-19,6.5,0.0,9.2,0.0,11.2,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",7-Jan-19,1.8,0.0,6.2,0.0,11.8,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",8-Jan-19,3.9,0.0,9.0,0.0,12.2,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",9-Jan-19,5.5,0.0,11.7,0.0,14.1,0.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",10-Jan-19,5.4,0.0,11.4,0.0,13.2,6.3,0.0
Wonorejo,"1,127,891,639","1,127,891,639",11-Jan-19,9.5,0.0,15.3,0.0,15.8,8.6,0.0
Wonorejo,"1,127,891,639","1,127,891,639",12-Jan-19,13.3,0.0,13.5,0.0,12.6,8.4,0.0
Wonorejo,"1,127,891,639","1,127,891,639",13-Jan-19,7.8,0.0,17.8,0.0,10.8,2.5,0.0
Wonorejo,"1,127,891,639","1,127,891,639",14-Jan-19,4.3,0.0,9.5,0.0,13.7,5.6,0.0
Wonorejo,"1,127,891,639","1,127,891,639",15-Jan-19,5.4,0.0,8.5,0.0,12.1,4.4,0.0
Wonorejo,"1,127,891,639","1,127,891,639",16-Jan-19,8.6,0.0,8.6,0.0,8.6,12.3,0.0
Wonorejo,"1,127,891,639","1,127,891,639",17-Jan-19,8.2,0.0,6.8,0.0,12.4,10.1,0.0
Wonorejo,"1,127,891,639","1,127,891,639",18-Jan-19,6.4,0.0,6.4,0.0,16.1,5.8,0.0
Wonorejo,"1,127,891,639","1,127,891,639",19-Jan-19,3.2,0.0,6.3,0.0,15.2,10.3,0.0
Wonorejo,"1,127,891,639","1,127,891,639",20-Jan-19,7.8,0.0,7.4,0.0,12.3,10.5,0.0
Wonorejo,"1,127,891,639","1,127,891,639",21-Jan-19,4.8,0.0,7.1,0.0,12.0,8.4,0.0
Wonorejo,"1,127,891,639","1,127,891,639",22-Jan-19,3.3,0.0,8.5,0.0,11.6,5.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",23-Jan-19,7.7,0.0,10.7,0.0,10.6,7.8,0.0
Wonorejo,"1,127,891,639","1,127,891,639",24-Jan-19,2.9,0.0,9.3,0.1,12.7,5.1,0.0
Wonorejo,"1,127,891,639","1,127,891,639",25-Jan-19,6.0,0.0,8.3,0.1,10.5,4.0,0.0
Wonorejo,"1,127,891,639","1,127,891,639",26-Jan-19,6.8,0.0,8.6,0.0,12.8,3.3,0.0
Wonorejo,"1,127,891,639","1,127,891,639",27-Jan-19,1.6,0.0,8.4,0.0,10.2,3.5,0.0
